id,bhk,property_type,sharing_type,gender_preference,location,area,,furnished,ac,fridge,washing_machine,geyser,wifi,water_24h,parking,cooking_allowed,light_bill_included,full_rent
1,3BHK,Flat,Full,Boys,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,41000
2,1BHK,Flat,Full,Family,Sector 3,Gandhinagar,,Semi,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9000
3,2BHK,House,Full,Girls,Sector 2,Gandhinagar,,Fully,Yes,No,No,No,Yes,Yes,Yes,Yes,No,23000
4,2BHK,Flat,Sharing,Any,Infocity,Gandhinagar,,Semi,Yes,No,No,No,Yes,Yes,No,Yes,No,29000
5,2BHK,House,Sharing,Boys,Sector 2,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,23000
6,1BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,19000
7,3BHK,Flat,Full,Family,Raysan,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,Yes,Yes,No,28000
8,3BHK,Room,Full,Girls,Sargasan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,No,Yes,No,36000
9,3BHK,House,Full,Girls,Sector 13,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,Yes,Yes,No,17000
10,2BHK,Room,Full,Any,Infocity,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,30000
11,1BHK,House,Sharing,Family,Kudasan,Gandhinagar,,Basic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,16000
12,3BHK,Room,Full,Any,Vavol,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,Yes,Yes,No,23000
13,1BHK,Tenament,Full,Girls,Sector 3,Gandhinagar,,Fully,No,Yes,Yes,No,No,Yes,Yes,Yes,No,10000
14,2BHK,Flat,Full,Boys,Raysan,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,No,Yes,No,25000
15,1BHK,Room,Full,Any,Vavol,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,12000
16,1BHK,House,Sharing,Family,Infocity,Gandhinagar,,Fully,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,21000
17,2BHK,House,Sharing,Boys,Sector 3,Gandhinagar,,Semi,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11000
18,1BHK,Tenament,Full,Family,Sector 5A,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,10000
19,1BHK,Room,Full,Any,Vavol,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,12000
20,2BHK,House,Full,Family,Kudasan,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,No,Yes,Yes,27000
21,3BHK,Flat,Full,Any,Sector 13,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,14000
22,1BHK,House,Full,Boys,Sector 6,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,No,Yes,No,12000
23,1BHK,House,Full,Any,Sector 5A,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,9000
24,1BHK,Room,Sharing,Girls,Sector 5A,Gandhinagar,,Fully,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,13000
25,2BHK,House,Sharing,Boys,Sector 6,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,Yes,22000
26,2BHK,Room,Sharing,Girls,Sector 13,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,12000
27,1BHK,Flat,Sharing,Any,Sargasan,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,No,18000
28,3BHK,Tenament,Full,Girls,Sector 5A,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,27000
29,1BHK,Tenament,Full,Girls,Sector 5A,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,12000
30,2BHK,Tenament,Full,Family,Sector 5A,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,Yes,Yes,No,20000
31,2BHK,Flat,Full,Any,Sargasan,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,30000
32,1BHK,Room,Sharing,Boys,Vavol,Gandhinagar,,Fully,No,Yes,Yes,No,Yes,Yes,No,Yes,No,10000
33,1BHK,House,Full,Any,Sector 6,Gandhinagar,,Semi,No,No,No,Yes,Yes,Yes,No,Yes,No,12000
34,1BHK,House,Full,Boys,Sector 2,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,12000
35,1BHK,House,Sharing,Family,Sector 2,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,No,Yes,No,11000
36,3BHK,Tenament,Sharing,Family,Sector 5A,Gandhinagar,,Fully,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,23000
37,1BHK,Room,Full,Boys,Infocity,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,22000
38,3BHK,Room,Sharing,Boys,Sector 13,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,17000
39,2BHK,Room,Full,Girls,Sector 3,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,12000
40,1BHK,Flat,Sharing,Boys,Sector 5A,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,No,11000
41,3BHK,Flat,Sharing,Girls,Infocity,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,Yes,Yes,No,39000
42,1BHK,Room,Sharing,Girls,Raysan,Gandhinagar,,Fully,Yes,Yes,No,Yes,No,Yes,No,Yes,No,17000
43,1BHK,Flat,Sharing,Any,Sector 6,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,No,14000
44,1BHK,Tenament,Full,Family,Sector 13,Gandhinagar,,Fully,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,8000
45,3BHK,Flat,Sharing,Boys,Vavol,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,19000
46,1BHK,Tenament,Full,Boys,Sector 5A,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,11000
47,1BHK,Room,Sharing,Boys,Raysan,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,16000
48,1BHK,House,Full,Family,Sector 5A,Gandhinagar,,Semi,Yes,Yes,No,Yes,No,Yes,No,Yes,No,12000
49,2BHK,Tenament,Sharing,Family,Infocity,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,No,Yes,No,27000
50,1BHK,Room,Sharing,Boys,Kudasan,Gandhinagar,,Semi,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,15000
51,2BHK,Room,Sharing,Any,Kudasan,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,No,Yes,No,27000
52,1BHK,House,Full,Boys,Sector 13,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,No,Yes,No,8000
53,1BHK,Tenament,Full,Family,Sector 6,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,13000
54,1BHK,Tenament,Sharing,Girls,Sargasan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,No,Yes,No,15000
55,1BHK,House,Sharing,Family,Infocity,Gandhinagar,,Fully,No,No,Yes,No,No,Yes,Yes,Yes,Yes,18000
56,1BHK,Tenament,Sharing,Boys,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,6000
57,2BHK,Flat,Sharing,Girls,Vavol,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,12000
58,3BHK,Flat,Sharing,Any,Sector 13,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,17000
59,1BHK,House,Sharing,Boys,Sargasan,Gandhinagar,,Fully,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,18000
60,3BHK,House,Full,Girls,Sector 3,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,Yes,Yes,Yes,16000
61,1BHK,Room,Full,Any,Sector 13,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,Yes,Yes,No,7000
62,1BHK,Tenament,Full,Family,Sector 5A,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,12000
63,1BHK,Room,Full,Family,Sector 3,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,9000
64,1BHK,Flat,Full,Family,Infocity,Gandhinagar,,Basic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,17000
65,1BHK,Tenament,Full,Girls,Sector 3,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,8000
66,3BHK,Room,Sharing,Family,Sector 5A,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,25000
67,1BHK,Flat,Sharing,Boys,Sector 3,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8000
68,3BHK,Tenament,Full,Girls,Raysan,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,No,Yes,Yes,31000
69,1BHK,Room,Sharing,Any,Infocity,Gandhinagar,,Semi,No,No,No,No,No,Yes,Yes,Yes,Yes,18000
70,3BHK,Room,Full,Boys,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,37000
71,1BHK,Room,Sharing,Boys,Sector 3,Gandhinagar,,Fully,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,8000
72,2BHK,Flat,Full,Family,Sector 5A,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,Yes,16000
73,1BHK,Tenament,Sharing,Boys,Raysan,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,16000
74,1BHK,Tenament,Full,Girls,Sector 5A,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,12000
75,1BHK,Room,Sharing,Boys,Sector 6,Gandhinagar,,Basic,No,No,No,No,No,Yes,Yes,Yes,No,14000
76,3BHK,Tenament,Full,Girls,Vavol,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,Yes,Yes,Yes,20000
